Year,Linear_Projection,Linear_CI_Lower,Linear_CI_Upper,Quadratic_Projection,Quadratic_CI_Lower,Quadratic_CI_Upper
2023,1.2034415914708987,0.6887253993397114,1.718157783602086,1.5778342490248178,1.3462400805515664,1.8094284174980693
2024,1.226524686974038,0.7118084948428508,1.7412408791052254,1.62594449598123,1.3943503275079785,1.8575386644544813
2025,1.2496077824771774,0.7348915903459902,1.7643239746083648,1.6747311524368342,1.4431369839635828,1.9063253209100857
2026,1.2726908779803168,0.7579746858491295,1.7874070701115041,1.7241942183907213,1.4926000499174699,1.9557883868639727
2027,1.295773973483449,0.7810577813522618,1.8104901656146364,1.7743336938435732,1.5427395253703218,2.005927862316825
2028,1.3188570689865884,0.8041408768554011,1.8335732611177757,1.8251495787951626,1.5935554103219112,2.0567437472684142
2029,1.3419401644897277,0.8272239723585405,1.856656356620915,1.8766418732454895,1.645047704772238,2.108236041718741
2030,1.365023259992867,0.8503070678616799,1.8797394521240545,1.9288105771943265,1.697216408721075,2.160404745667578
